"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"671","May 2026","U.S. Sugar Supply and Use","Non-program","","Sugar","United States","2024/25","","Annual","1485.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Other Program","","Sugar","United States","2024/25","","Annual","373.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Production","","Sugar","United States","2024/25","","Annual","9397.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Stocks to Use Ratio","","Sugar","United States","2024/25","","Annual","19.90","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Texas","","Sugar","United States","2024/25","","Annual",".00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Supply","","Sugar","United States","2024/25","","Annual","15009.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Use","","Sugar","United States","2024/25","","Annual","12520.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","TRQ","","Sugar","United States","2024/25","","Annual","1534.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beet Sugar","","Sugar","United States","2025/26","Est.","Annual","5021.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beginning Stocks","","Sugar","United States","2025/26","Est.","Annual","2490.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Cane Sugar","","Sugar","United States","2025/26","Est.","Annual","4218.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Deliveries","","Sugar","United States","2025/26","Est.","Annual","12364.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Ending Stocks","","Sugar","United States","2025/26","Est.","Annual","1992.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports","","Sugar","United States","2025/26","Est.","Annual","25.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports - Other","","Sugar","United States","2025/26","Est.","Annual","105.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Florida","","Sugar","United States","2025/26","Est.","Annual","1987.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Food","","Sugar","United States","2025/26","Est.","Annual","12259.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","High-tier tariff/other","","Sugar","United States","2025/26","Est.","Annual","817.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Imports","","Sugar","United States","2025/26","Est.","Annual","2653.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Louisiana","","Sugar","United States","2025/26","Est.","Annual","2232.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Mexico","","Sugar","United States","2025/26","Est.","Annual","220.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Miscellaneous","","Sugar","United States","2025/26","Est.","Annual",".00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Non-program","","Sugar","United States","2025/26","Est.","Annual","1037.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Other Program","","Sugar","United States","2025/26","Est.","Annual","300.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
